outcode,latitude,longitude,region
BT3,54.617938303571385,-5.905761892857142,Northern Ireland
BT30,54.33349844435284,-5.703005870568837,Northern Ireland
BT31,54.27623540728479,-5.968148066225166,Northern Ireland
BT32,54.33622701739135,-6.247374813664593,Northern Ireland
BT33,54.22347345103855,-5.89069181305638,Northern Ireland
BT34,54.15316951661631,-6.181728057401813,Northern Ireland
BT35,54.16497377309095,-6.43877459563637,Northern Ireland
BT36,54.67806476946474,-5.959767047445246,Northern Ireland
BT37,54.676311769571605,-5.90853542245199,Northern Ireland
BT38,54.72888064595664,-5.800848268244574,Northern Ireland
BT39,54.74482103840242,-6.019013821812596,Northern Ireland
BT4,54.60272297287734,-5.868257807783017,Northern Ireland
BT40,54.846737638596515,-5.822912719298243,Northern Ireland
BT41,54.73092219684384,-6.25171315116279,Northern Ireland
BT42,54.85475869314473,-6.276978523394991,Northern Ireland
BT43,54.88951634502106,-6.266690553997195,Northern Ireland
BT44,54.97303136635006,-6.28447966078698,Northern Ireland
BT45,54.75962802960221,-6.638457436632748,Northern Ireland
BT46,54.86537131914895,-6.66306439513678,Northern Ireland
BT47,54.98034448474765,-7.231253650027732,Northern Ireland
BT48,55.00910642560329,-7.32746576340483,Northern Ireland
BT49,55.047227650623896,-6.951864427807485,Northern Ireland
BT5,54.58861730338081,-5.873884468861218,Northern Ireland
BT51,55.060935473506284,-6.682567969560312,Northern Ireland
BT52,55.133544721311495,-6.655957273224051,Northern Ireland
BT53,55.084860689156734,-6.477615675903628,Northern Ireland
BT54,55.20488807612452,-6.256325103806232,Northern Ireland
BT55,55.17952046987951,-6.70960276807228,Northern Ireland
BT56,55.19738908582091,-6.650535462686563,Northern Ireland
BT57,55.20345809375001,-6.519156723958336,Northern Ireland
BT6,54.58082851369869,-5.8983809082191865,Northern Ireland
BT60,54.29275507581571,-6.647676179462579,Northern Ireland
BT61,54.36676009621993,-6.626286379725078,Northern Ireland
BT62,54.412890275442514,-6.4647422057522155,Northern Ireland
BT63,54.40835826702506,-6.392038168458777,Northern Ireland
BT64,54.44917580128198,-6.388794346153864,Northern Ireland
BT65,54.444866550335554,-6.366145275167785,Northern Ireland
BT66,54.45527142081956,-6.333233681063115,Northern Ireland
BT67,54.486597136363635,-6.26935522545455,Northern Ireland
BT68,54.36418505660377,-6.8479781509433995,Northern Ireland
BT69,54.42006089215686,-6.949888107843137,Northern Ireland
BT7,54.583270075200176,-5.924952512000002,Northern Ireland
BT70,54.51463772602735,-6.880742593150688,Northern Ireland
BT71,54.51254779524213,-6.705842689889546,Northern Ireland
BT74,54.34465832578206,-7.663132943905077,Northern Ireland
BT75,54.37361416666666,-7.3155568205128265,Northern Ireland
BT76,54.42044732911394,-7.192504050632911,Northern Ireland
BT77,54.429211017857135,-7.120372142857144,Northern Ireland
BT78,54.57235923720921,-7.371769533333348,Northern Ireland
BT79,54.622149338402934,-7.204765328897338,Northern Ireland
BT8,54.54481765873011,-5.90793712786595,Northern Ireland
BT80,54.64578809677412,-6.7433409368279555,Northern Ireland
BT81,54.696072432601866,-7.6119303479623825,Northern Ireland
BT82,54.82626560101007,-7.431722868686864,Northern Ireland
BT9,54.572276673886805,-5.950107190132379,Northern Ireland
BT92,54.223968785243684,-7.466334111989457,Northern Ireland
BT93,54.46767781818188,-7.826212798898061,Northern Ireland
BT94,54.37648590673079,-7.53656979903847,Northern Ireland
BT99,54.602712,-5.922494,Northern Ireland
CA1,54.887204968023376,-2.9187194990310257,North West
CA10,54.6153718160621,-2.6631522992227974,North West
CA11,54.664877833819276,-2.7815988739067063,North West
CA12,54.60236500710477,-3.134520504440499,North West
CA13,54.66060672155281,-3.3677051178045554,North West
CA14,54.63520781011878,-3.539646727045588,North West
CA15,54.71183731334331,-3.4820577766116956,North West
CA16,54.5739192607261,-2.4850017689768973,North West
CA17,54.47954281538468,-2.3504573423076898,North West
CA18,54.354641107142854,-3.3904273571428556,North West
CA19,54.3871959859155,-3.3867963239436616,North West
CA2,54.884730395652255,-2.950708929565219,North West
CA20,54.4100243039648,-3.4629584581497785,North West
CA21,54.445327574999986,-3.5165342,North West
CA22,54.480231849999974,-3.532222337500001,North West
CA23,54.513831582278485,-3.495091860759493,North West
CA24,54.51466480000001,-3.5432573999999994,North West
